_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
list_tile.export_pdf.title,Export PDF (.pdf),تصدير ملف PDF (.pdf),PDF exportieren (.pdf),Exportar PDF (.pdf),Exportar PDF (.pdf),Exporter au format PDF (.pdf),पीडीएफ (.pdf) निर्यात करें,Ekspor PDF (.pdf),Esporta PDF (.pdf),PDF をエクスポート (.pdf),នាំចេញ PDF (.pdf),PDF 내보내기(.pdf),Eksportuj PDF (.pdf),Exportar PDF (.pdf),Xuất file PDF (.pdf),导出PDF（.pdf）,Экспорт в PDF (.pdf),Експорт PDF (.pdf),PDF olarak dışa aktar (.pdf)
list_tile.export_storypad_json.subtitle,Native format preserving all data & metadata,تنسيق أصلي يحافظ على جميع البيانات والبيانات الوصفية,"Natives Format, das alle Daten und Metadaten beibehält",Formato nativo que conserva todos los datos y metadatos,Formato nativo que conserva todos los datos y metadatos,Format natif préservant toutes les données et métadonnées,मूल प्रारूप सभी डेटा और मेटाडेटा को संरक्षित रखता है,Format asli yang mempertahankan semua data & metadata,Formato nativo che preserva tutti i dati e i metadati,すべてのデータとメタデータを保持するネイティブ形式,ទម្រង់ដើមដែលរក្សាទិន្នន័យ និងទិន្នន័យមេតាទាំងអស់,모든 데이터와 메타데이터를 보존하는 네이티브 형식,Format natywny zachowujący wszystkie dane i metadane,Formato nativo que preserva todos os dados e metadados.,Định dạng gốc bảo toàn tất cả dữ liệu và siêu dữ liệu.,保留所有数据和元数据的原生格式,"Нативный формат, сохраняющий все данные и метаданные","Нативний формат, що зберігає всі дані та метадані.",Tüm verileri ve meta verileri koruyan yerel format.
list_tile.export_storypad_json.title,Export StoryPad JSON (.json),تصدير StoryPad JSON (.json),StoryPad-JSON exportieren (.json),Exportar StoryPad JSON (.json),Exportar StoryPad JSON (.json),Exporter StoryPad au format JSON (.json),स्टोरीपैड JSON (.json) निर्यात करें,Ekspor StoryPad JSON (.json),Esporta StoryPad JSON (.json),StoryPad JSON (.json) をエクスポート,នាំចេញ StoryPad JSON (.json),StoryPad JSON(.json) 내보내기,Eksportuj StoryPad JSON (.json),Exportar StoryPad JSON (.json),Xuất StoryPad JSON (.json),导出 StoryPad JSON (.json),Экспорт в StoryPad-JSON (.json),Експорт StoryPad JSON (.json),StoryPad JSON (.json) dosyasını dışa aktar
list_tile.export_txt.subtitle,"Single txt file, plain text format, works everywhere",ملف نصي واحد، بتنسيق نص عادي، يعمل في كل مكان,"Einzelne Textdatei, einfaches Textformat, funktioniert überall","Archivo txt único, formato de texto simple, funciona en todas partes","Archivo txt único, formato de texto simple, funciona en todas partes","Un seul fichier texte, format texte brut, fonctionne partout","एक सिंगल txt फ़ाइल, प्लेन टेक्स्ट फॉर्मेट में, हर जगह काम करती है","File txt tunggal, format teks biasa, berfungsi di mana saja.","Singolo file txt, formato di testo normale, funziona ovunque",単一のtxtファイル、プレーンテキスト形式、どこでも動作します,ឯកសារ txt តែមួយ ទម្រង់អត្ថបទធម្មតា ដំណើរការគ្រប់ទីកន្លែង,"단일 텍스트 파일, 일반 텍스트 형식, 어디에서든 사용 가능","Pojedynczy plik txt, format zwykłego tekstu, działa wszędzie","Um único arquivo txt, formato de texto simples, funciona em qualquer lugar.","Một tệp văn bản duy nhất, định dạng văn bản thuần túy, hoạt động ở mọi nơi.",单个txt文件，纯文本格式，可在任何地方使用,"Один TXT-файл, простой текстовый формат, работает везде","Формат простого тексту, працює скрізь","Tek bir .txt dosyası, düz metin formatında, her yerde çalışır."
list_tile.export_txt.title,Export Text (.txt),تصدير النص (.txt),Text exportieren (.txt),Exportar texto (.txt),Exportar texto (.txt),Exporter le texte (.txt),टेक्स्ट (.txt) निर्यात करें,Ekspor Teks (.txt),Esporta testo (.txt),テキストのエクスポート (.txt),នាំចេញអត្ថបទ (.txt),텍스트 내보내기(.txt),Eksportuj tekst (.txt),Exportar texto (.txt),Xuất văn bản (.txt),导出文本（.txt）,Экспорт текста (.txt),Експорт Text (.txt),Metni Dışa Aktar (.txt)
list_tile.faq.title,FAQ,التعليمات,FAQ,Preguntas frecuentes,Preguntas frecuentes,FAQ,अक्सर पूछे जाने वाले प्रश्न,Pertanyaan Umum,Domande frequenti,よくある質問,សំណួរគេសួរញឹកញាប់,자주 묻는 질문,Często zadawane pytania,Perguntas frequentes,Câu hỏi thường gặp,常见问题,FAQ,Часті запитання,SSS
list_tile.file_size.title,File size,حجم الملف,Dateigröße,Tamaño del archivo,Tamaño del archivo,Taille du fichier,फ़ाइल का साइज़,Ukuran berkas,Dimensione del file,ファイルサイズ,ទំហំឯកសារ,파일 크기,Rozmiar pliku,Tamanho do arquivo,Kích thước tập tin,文件大小,Размер файла,Розмір файлу,Dosya boyutu
list_tile.first_day_of_week.title,First Day of Week,أول يوم من الأسبوع,Erster Tag der Woche,Primer día de la semana,Primer día de la semana,Premier jour de la semaine,सप्ताह का पहला दिन,Hari Pertama dalam Seminggu,Primo giorno della settimana,週の初日,ថ្ងៃដំបូងនៃសប្តាហ៍,한 주의 첫날,Pierwszy dzień tygodnia,Primeiro dia da semana,Ngày đầu tiên trong tuần,一周的第一天,Первый день недели,Перший день тижня,Haftanın İlk Günü
list_tile.font_family.title,Font Family,عائلة الخطوط,Schriftfamilie,Familia de fuentes,Familia de fuentes,Famille de polices,फुहारा परिवार,Keluarga Font,Famiglia di caratteri,フォントの種類,គ្រួសារពុម្ពអក្សរ,글꼴 종류,Rodzina czcionek,Família de fontes,Họ phông chữ,字体,Шрифт,Сімейство шрифтів,Yazı Tipi Ailesi
list_tile.font_weight.title,Font Weight,وزن الخط,Schriftstärke,Peso de fuente,Peso de fuente,Poids de la police,फ़ॉन्ट वजन,Berat Font,Peso del carattere,フォントの太さ,ទម្ងន់ពុម្ពអក្សរ,글꼴 굵기,Waga czcionki,Peso da fonte,Trọng lượng phông chữ,字重,Толщина шрифта,Товщина шрифту,Yazı Tipi Kalınlığı
list_tile.import_storypad_json.title,Import StoryPad JSON (.json),استيراد StoryPad JSON (.json),StoryPad JSON importieren (.json),Importar JSON de StoryPad (.json),Importar JSON de StoryPad (.json),Importer un fichier JSON StoryPad (.json),स्टोरीपैड JSON (.json) आयात करें,Impor StoryPad JSON (.json),Importa StoryPad JSON (.json),StoryPad JSON (.json) をインポートする,នាំចូល StoryPad JSON (.json),StoryPad JSON(.json) 가져오기,Importuj StoryPad JSON (.json),Importar JSON do StoryPad (.json),Nhập StoryPad JSON (.json),导入 StoryPad JSON (.json),Импортирование StoryPad JSON (.json),Імпорт StoryPad JSON (.json),StoryPad JSON (.json) dosyasını içe aktarın.
list_tile.licenses.title,Licenses,التراخيص,Lizenzen,Licencias,Licencias,Licences,लाइसेंस,Lisensi,Licenze,ライセンス,អាជ្ញាប័ណ្ណ,라이선스,Licencje,Licenças,Giấy phép,许可证,Лицензии,Ліцензії,Lisanslar
list_tile.moved_to_bin_at.title,Moved to bin,تم النقل إلى سلة المهملات,In den Papierkorb verschoben,Movido a la papelera,Movido a la papelera,Déplacé vers la corbeille,बिन में ले जाया गया,Dipindahkan ke tempat sampah,Spostato nel cestino,ゴミ箱に移動しました,ផ្លាស់ទីទៅធុងសំរាម,휴지통으로 옮겨졌어요,Przeniesiono do kosza,Movido para a lixeira,Đã chuyển vào thùng rác,已移至垃圾箱,Перемещено в корзину,Переміщено до кошика,Çöp kutusuna taşındı.
list_tile.period_calendar.subtitle,Track your cycle and feelings,تتبع دورتك ومشاعرك,Verfolgen Sie Ihren Zyklus und Ihre Gefühle,Sigue tu ciclo y tus sentimientos,Sigue tu ciclo y tus sentimientos,Suivez votre cycle et vos sentiments,अपने चक्र और भावनाओं पर नज़र रखें,Lacak siklus dan perasaan Anda,Tieni traccia del tuo ciclo e delle tue sensazioni,周期と感情を追跡する,តាមដានវដ្តនិងអារម្មណ៍របស់អ្នក។,주기와 감정을 추적하세요,Śledź swój cykl i uczucia,Acompanhe seu ciclo e seus sentimentos,Theo dõi chu kỳ và cảm xúc của bạn,追踪你的周期和感受,Следите за циклом и своими чувствами.,Відстежуйте свій цикл і самопочуття,Adet döngünüzü ve hislerinizi takip edin.
list_tile.period_calendar.title,Period Calendar,تقويم الدورة الشهرية,Menstruationskalender,Calendario menstrual,Calendario menstrual,Calendrier menstruel,मासिक धर्म कैलेंडर,Kalender Menstruasi,Calendario mestruale,月経カレンダー,ប្រតិទិនរដូវ,월경 달력,Kalendarz menstruacyjny,Calendário menstrual,Lịch kinh nguyệt,经期日历,Календарь менструаций,Календар менструальних періодів,Adet Takvimi
list_tile.preview_char_count.title,Preview Character Count,عدد الأحرف في المعاينة,Vorschau Zeichenanzahl,Vista previa del recuento de caracteres,Vista previa del recuento de caracteres,Nombre de caractères d'aperçu,वर्णों की संख्या का पूर्वावलोकन,Pratinjau Jumlah Karakter,Anteprima del conteggio dei caratteri,プレビュー文字数,មើលជាមុនចំនួនតួអក្សរ,미리보기 문자 수,Podgląd liczby znaków,Contagem de caracteres de pré-visualização,Số ký tự xem trước,预览字符数,Предварительный просмотр количества символов,Попередній перегляд кількості символів,Karakter Sayısı Önizlemesi
list_tile.rate.title,Rate Us,قيم التطبيق,Bewerten Sie die App,Califica la aplicación,Califica la aplicación,Évaluez l'application,एप्लिकेशन की श्रेणी बताओ,Nilai Aplikasinya,Valuta l'app,アプリを評価する,វាយតម្លៃកម្មវិធី,앱 평가하기,Oceń aplikację,Avalie o aplicativo,Đánh giá ứng dụng,评价本应用,Оцените Нас,Оцініть нас,Bizi değerlendirin
list_tile.share_app.subtitle,Share it with your favorite people!,شاركها مع الأشخاص المفضلين لديك!,Teilen Sie es mit Ihren Lieblingsmenschen!,¡Compártelo con tus personas favoritas!,¡Compártelo con tus personas favoritas!,Partagez-le avec vos personnes préférées !,इसे अपने पसंदीदा लोगों के साथ साझा करें!,Bagikan dengan orang-orang favorit Anda!,Condividilo con le tue persone preferite!,お気に入りの人たちとシェアしましょう！,ចែករំលែកវាជាមួយមនុស្សដែលអ្នកចូលចិត្ត!,좋아하는 사람들과 공유해보세요!,Udostępnij to swoim ulubionym osobom!,Compartilhe com suas pessoas favoritas!,Chia sẻ nó với những người yêu thích của bạn!,与你最喜欢的人分享！,Поделитесь с вашими Друзьями!,Поділіться цим із вашими улюбленими людьми!,En sevdiklerinizle paylaşın!
list_tile.share_app.title,Love StoryPad?,أحب ستوري باد؟,Lieben Sie StoryPad?,¿Te encanta StoryPad?,¿Te encanta StoryPad?,Vous aimez StoryPad ?,लव स्टोरीपैड?,Cinta Papan Cerita?,Ti piace StoryPad?,StoryPadは気に入りましたか？,Love StoryPad?,StoryPad가 마음에 드셨나요?,Lubisz StoryPad?,Ama o StoryPad?,Câu Chuyện Tình Yêu?,喜欢 StoryPad？,Любите StoryPad?,Обожнюєш StoryPad?,StoryPad'i seviyor musunuz?
list_tile.show_location.title,Show Location,عرض الموقع,Standort anzeigen,Mostrar ubicación,Mostrar ubicación,Afficher l'emplacement,स्थान दिखाएँ,Tampilkan Lokasi,Mostra la posizione,場所を表示,បង្ហាញទីតាំង,위치 표시,Pokaż lokalizację,Mostrar localização,Hiển thị vị trí,显示位置,Показать местоположение,Показати місцезнаходження,Konumu Göster
list_tile.show_page_count.title,Show Page Count,عرض عدد الصفحات,Seitenanzahl anzeigen,Mostrar número de páginas,Mostrar número de páginas,Afficher le nombre de pages,पृष्ठों की संख्या दिखाएँ,Tampilkan Jumlah Halaman,Mostra il numero di pagine,ページ数を表示,បង្ហាញចំនួនទំព័រ,페이지 수 표시,Pokaż liczbę stron,Mostrar contagem de páginas,Hiển thị số trang,显示页数,Показать количество страниц,Показати кількість сторінок,Sayfa Sayısını Göster
list_tile.show_tag_labels.title,Show Tags,عرض العلامات,Tags anzeigen,Mostrar etiquetas,Mostrar etiquetas,Afficher les balises,टैग्स दिखाएं,Tampilkan Tag,Mostra tag,タグを表示,បង្ហាញស្លាក,태그 표시,Pokaż tagi,Mostrar etiquetas,Hiển thị thẻ,显示标签,Показать теги,Показати теги,Etiketleri Göster
list_tile.show_time.title,Show Time,موعد العرض,Show Time,Tiempo de la funcion,Tiempo de la funcion,Afficher l'heure,शो टाइम,Saatnya Pertunjukan,Orario dello spettacolo,ショータイム,ម៉ោង​បង្ហាញ,쇼 타임,Czas na pokaz,Altura de começar,Giờ chiếu,开演时间,Время для шоу,Час показу,Saati Göster
list_tile.show_voice_count.title,Show Voice Count,إظهار عدد الأصوات,Stimmenanzahl anzeigen,Mostrar recuento de voces,Mostrar recuento de voces,Afficher le nombre de voix,आवाज़ों की संख्या दिखाएँ,Tampilkan Jumlah Suara,Mostra il conteggio vocale,音声カウントを表示,បង្ហាញចំនួនសំឡេង,음성 개수 표시,Pokaż liczbę głosów,Mostrar contagem de vozes,Hiển thị số lượng giọng nói,显示语音计数,Показать количество голосов,Показати кількість голосів,Ses Sayısını Göster
list_tile.source_code.subtitle,Check it out on GitHub,التحقق من ذلك على جيثب,Schauen Sie es sich auf GitHub an,Compruébalo en GitHub,Compruébalo en GitHub,Découvrez-le sur GitHub,इसे GitHub पर देखें,Lihat di GitHub,Controllalo su GitHub,GitHub で確認してください,ពិនិត្យមើលវានៅលើ GitHub,GitHub에서 확인해보세요,Sprawdź to na GitHubie,Confira no GitHub,Kiểm tra nó trên GitHub,在 GitHub 上查看,Открыть на GitHub,Перегляньте на GitHub,GitHub'da inceleyin.
list_tile.source_code.title,StoryPad is Open Source,StoryPad مفتوح المصدر,StoryPad ist Open Source,StoryPad es de código abierto,StoryPad es de código abierto,StoryPad est open source,स्टोरीपैड ओपन सोर्स है,StoryPad adalah Sumber Terbuka,StoryPad è Open Source,StoryPad はオープンソースです,StoryPad គឺជាប្រភពបើកចំហ,StoryPad는 오픈소스예요,StoryPad jest oprogramowaniem typu open source,StoryPad é código aberto,StoryPad là mã nguồn mở,StoryPad 是开源的,StoryPad - это Open Source проект.,StoryPad - Open Source,StoryPad açık kaynaklıdır.
list_tile.story_date.title,Story Date,تاريخ القصة,Story-Datum,Fecha de la historia,Fecha de la historia,Date de l'histoire,कहानी दिनांक,Tanggal Cerita,Data della storia,ストーリーの日付,កាលបរិច្ឆេទរឿង,스토리 날짜,Data historii,Data da história,Ngày kể chuyện,故事日期,Дата Истории,Дата розповіді,Hikaye Tarihi
list_tile.story_tile_preferences.title,List Style,نمط القائمة,Listenstil,Estilo de lista,Estilo de lista,Style de liste,सूची शैली,Gaya Daftar,Stile elenco,リストスタイル,រចនាប័ទ្មបញ្ជី,목록 스타일,Styl listy,Estilo de lista,Kiểu danh sách,列表样式,Стиль списка,Стиль списку,Liste Stili
list_tile.support_indie_dev.subtitle,Your support keeps the app alive and helps me continue improving it!,إن دعمكم يُبقي التطبيق متاحاً ويساعدني على مواصلة تطويره!,"Ihre Unterstützung hält die App am Leben und hilft mir, sie weiter zu verbessern!",¡Vuestro apoyo mantiene viva la aplicación y me ayuda a seguir mejorándola!,¡Vuestro apoyo mantiene viva la aplicación y me ayuda a seguir mejorándola!,Votre soutien permet à l'application de rester en ligne et m'aide à continuer de l'améliorer !,आपके सहयोग से ही यह ऐप चालू रहता है और मुझे इसे बेहतर बनाने में मदद मिलती है!,Dukungan Anda membuat aplikasi ini tetap aktif dan membantu saya terus memperbaikinya!,Il vostro supporto mantiene viva l'app e mi aiuta a continuare a migliorarla!,皆様のご支援のおかげでアプリは存続し、私が継続的に改善していくことができます！,ការគាំទ្ររបស់អ្នកធ្វើឱ្យកម្មវិធីនៅរស់រវើក និងជួយខ្ញុំបន្តកែលម្អវា!,여러분의 응원 덕분에 앱이 계속 유지되고 제가 앱을 개선해 나갈 수 있습니다!,Dzięki Twojemu wsparciu aplikacja nadal istnieje i mogę ją stale udoskonalać!,Seu apoio mantém o aplicativo ativo e me ajuda a continuar aprimorando-o!,Sự ủng hộ của bạn giúp duy trì hoạt động của ứng dụng và giúp tôi tiếp tục cải thiện nó!,您的支持让这款应用得以继续运营，并帮助我不断改进它！,Ваша поддержка помогает приложению оставаться в рабочем состоянии и позволяет мне продолжать его совершенствовать!,Ваша підтримка допомагає мені підтримувати роботу програми та продовжувати її вдосконалювати!,Desteğiniz uygulamanın hayatta kalmasını sağlıyor ve onu geliştirmeye devam etmeme yardımcı oluyor!
list_tile.support_indie_dev.title,Support an indie developer,ادعم مطورًا مستقلًا,Unterstütze einen unabhängigen Entwickler,Apoya a un desarrollador independiente,Apoya a un desarrollador independiente,Soutenez un développeur indépendant,एक स्वतंत्र डेवलपर का समर्थन करें,Dukung pengembang indie,Sostieni uno sviluppatore indipendente,インディー開発者を応援しよう,គាំទ្រអ្នកអភិវឌ្ឍន៍ឯករាជ្យ,인디 개발자를 응원해주세요,Wesprzyj niezależnego dewelopera,Apoie um desenvolvedor independente,Hãy ủng hộ nhà phát triển game độc ​​lập,支持独立开发者,Поддержите независимого разработчика,Підтримайте незалежного розробника,Bağımsız bir geliştiriciyi destekleyin
list_tile.survey.message,Your feedback helps guide the next updates!,تعليقاتك تساعد في توجيه التحديثات القادمة!,Ihr Feedback hilft bei der Gestaltung der nächsten Updates!,¡Sus comentarios nos ayudan a orientar las próximas actualizaciones!,¡Sus comentarios nos ayudan a orientar las próximas actualizaciones!,Vos commentaires nous aident à orienter les prochaines mises à jour !,आपकी प्रतिक्रिया अगले अपडेट का मार्गदर्शन करने में मदद करती है!,Masukan Anda membantu memandu pembaruan berikutnya!,Il tuo feedback ci aiuterà a indirizzare i prossimi aggiornamenti!,あなたのフィードバックは次のアップデートに役立ちます!,មតិកែលម្អរបស់អ្នកជួយណែនាំការអាប់ដេតបន្ទាប់!,여러분의 피드백은 다음 업데이트를 개발하는 데 도움이 됩니다!,Twoja opinia pomoże nam w opracowywaniu kolejnych aktualizacji!,Seu feedback ajuda a orientar as próximas atualizações!,Phản hồi của bạn sẽ giúp định hướng cho những bản cập nhật tiếp theo!,您的反馈有助于指导下一次更新！,Ваш отзыв позволит сделать нам StoryPad лучше!,Ваш відгук допоможе нам підготувати наступні оновлення!,"Geri bildirimleriniz, sonraki güncellemelerin şekillenmesine yardımcı oluyor!"
list_tile.survey.title,Help us improve StoryPad,ساعدنا في تحسين StoryPad,"Helfen Sie uns, StoryPad zu verbessern.",Ayúdanos a mejorar StoryPad,Ayúdanos a mejorar StoryPad,Aidez-nous à améliorer StoryPad,स्टोरीपैड को बेहतर बनाने में हमारी मदद करें,Bantu kami meningkatkan StoryPad.,Aiutaci a migliorare StoryPad,StoryPadの改善にご協力ください,ជួយយើងកែលម្អ StoryPad,StoryPad 개선에 도움을 주세요,Pomóż nam ulepszyć StoryPad,Ajude-nos a melhorar o StoryPad.,Hãy giúp chúng tôi cải thiện StoryPad.,请帮助我们改进 StoryPad,Помогите с улучшением StoryPad,Допоможіть нам покращити StoryPad,StoryPad'i geliştirmemize yardımcı olun.
list_tile.theme_mode.title,Theme Mode,وضع الموضوع,Themenmodus,Modo temático,Modo temático,Mode Thème,थीम मोड,Modus Tema,Modalità tema,テーマモード,របៀបស្បែក,테마 모드,Tryb tematyczny,Modo Tema,Chế độ chủ đề,主题模式,Тема,Режим теми,Tema Modu
list_tile.throwback.a_few_year_ago_title,A memory from a few years ago.,ذكريات من بضع سنوات مضت.,Eine Erinnerung von vor ein paar Jahren.,Un recuerdo de hace unos años.,Un recuerdo de hace unos años.,Un souvenir d'il y a quelques années.,कुछ साल पहले की एक याद.,Sebuah kenangan dari beberapa tahun lalu.,Un ricordo di qualche anno fa.,数年前の思い出。,អនុស្សាវរីយ៍កាលពីប៉ុន្មានឆ្នាំមុន។,몇 년 전의 추억.,Wspomnienie sprzed kilku lat.,Uma lembrança de alguns anos atrás.,Một kỷ niệm từ vài năm trước.,几年前的记忆。,Воспоминание годами ранее,Спогад кількарічної давності.,Birkaç yıl öncesinden bir anı.
list_tile.throwback.a_year_ago_title,A memory from 1 year ago.,ذكريات من سنة مضت.,Eine Erinnerung von vor einem Jahr.,Un recuerdo de hace 1 año.,Un recuerdo de hace 1 año.,Un souvenir d'il y a 1 an.,एक साल पहले की याद.,Kenangan dari 1 tahun lalu.,Un ricordo di un anno fa.,1年前の思い出。,អនុស្សាវរីយ៍កាលពី១ឆ្នាំមុន។,1년 전의 추억.,Wspomnienie sprzed roku.,Uma lembrança de 1 ano atrás.,Một kỷ niệm từ 1 năm trước.,一年前的记忆。,Воспоминание годом ранее,Спогад однорічної давності.,Bir yıl öncesinden bir anı.
list_tile.throwback.for_selected_date,A memory from this date.,ذكريات من هذا التاريخ.,Eine Erinnerung an dieses Datum.,Un recuerdo de esta fecha.,Un recuerdo de esta fecha.,Un souvenir de cette date.,इस तारीख से एक स्मृति.,Sebuah kenangan pada tanggal ini.,Un ricordo di questa data.,この日の思い出。,ការចងចាំពីកាលបរិច្ឆេទនេះ។,이 날의 추억.,Wspomnienie z tej daty.,Uma lembrança desta data.,Một kỷ niệm từ ngày này.,这一天的记忆。,Воспоминание с этого момента,Спогад із цієї дати.,Bu tarihten bir anı.
list_tile.updated_at.title,Updated,تم التحديث,Aktualisiert,Actualizado,Actualizado,Mis à jour,अद्यतन,Diperbarui,Aggiornato,更新日,បានធ្វើបច្ចុប្បន្នភាព,마지막 수정,Zaktualizowano,Atualizado,Đã cập nhật,已更新,Обновлено,Оновлено!,Güncellendi
list_tile.upgrade_to_pro.subtitle,Unlock all features and benefits,استمتع بجميع الميزات والفوائد,Schalten Sie alle Funktionen und Vorteile frei,Desbloquea todas las funciones y ventajas.,Desbloquea todas las funciones y ventajas.,Débloquez toutes les fonctionnalités et tous les avantages,सभी सुविधाओं और लाभों को अनलॉक करें,Buka semua fitur dan manfaat,Sblocca tutte le funzionalità e i vantaggi,すべての機能と特典をアンロック,ដោះសោមុខងារ និងអត្ថប្រយោជន៍ទាំងអស់,모든 기능과 혜택을 이용하세요,Odblokuj wszystkie funkcje i korzyści,Desbloqueie todos os recursos e benefícios.,Mở khóa tất cả các tính năng và lợi ích,解锁所有功能和权益,Разблокируйте все функции и преимущества,Розблокуйте всі функції та переваги,Tüm özelliklerin ve avantajların kilidini açın.
list_tile.upgrade_to_pro.title,Upgrade to Pro,قم بالترقية إلى الإصدار الاحترافي,Upgrade auf Pro,Actualiza a Pro,Actualiza a Pro,Passez à la version Pro,प्रो में अपग्रेड,Tingkatkan ke Pro,Passa alla versione Pro,Proにアップグレード,ធ្វើឱ្យប្រសើរឡើងទៅ Pro,프로 버전으로 업그레이드하세요,Uaktualnij do wersji Pro,Faça o upgrade para a versão Pro.,Nâng cấp lên phiên bản Pro,升级到专业版,Перейти на Pro,Перейти на Pro,Pro sürüme yükseltin
list_tile.use_this_font.loreum_ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.",لوريم إيبسوم دولور الجلوس أميت، consectetur adipiscing إيليت. Nulla nec Purus feugiat، molestie ipsum et، consequat nunc.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","लोरेम इप्सम डोलर सिट अमेट, कंसेक्टेचर एडिपिसिंग एलीट। नुल्ला नेक पुरुस फ्यूगियाट, मोलेस्टी इप्सम एट, परिणामी नंक।","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit.ヌラネックプルスフェウジット、モルスティイプサムなど、結果はヌンクです。","Lorem ipsum dolor sit amet, consectetur adipiscing elit ។ Nulla nec purus feugiat, molestie ipsum et, consequat nunc","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, Molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elita. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat Nunc.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. 时维九月，序属三秋。潦水尽而寒潭清，烟光凝而暮山紫。","Съешь ещё этих мягких французских булок, да выпей чаю.","Коли поміж хлібом і свободою народ обирає хліб, він зрештою втрачає все, в тому числі й хліб. Якщо народ обирає Свободу – він матиме Хліб, вирощений ним самим і ніким не відібраний.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla nec purus feugiat, molestie ipsum et, consequat nunc."
list_tile.use_this_font.title,Use this font,استخدم هذا الخط,Verwenden Sie diese Schriftart,Usa esta fuente,Usa esta fuente,Utilisez cette police,इस फ़ॉन्ट का प्रयोग करें,Gunakan font ini,Usa questo carattere,このフォントを使用,ប្រើពុម្ពអក្សរនេះ,이 글꼴 사용하기,Użyj tej czcionki,Use esta fonte,Sử dụng phông chữ này,使用此字体,Использовать этот шрифт,Використати цей шрифт,Bu yazı tipini kullanın
page.add_ons.title,Add-ons,إضافات,Add-ons,Complementos,Complementos,Modules complémentaires,ऐड-ऑन,Tambahan,Componenti aggiuntivi,アドオン,កម្មវិធីបន្ថែម,추가 기능,Dodatki,Complementos,Các tiện ích bổ sung,附加组件,Дополнения,Доповнення,Eklentiler
page.add_year.title,Add Year,أضف سنة,Jahr hinzufügen,Agregar año,Agregar año,Ajouter une année,वर्ष जोड़े,Tambahkan Tahun,Aggiungi anno,年を追加,បន្ថែមឆ្នាំ,연도 추가하기,Dodaj rok,Adicionar ano,Thêm năm,添加年份,Добавить год,Додати рік,Yıl Ekle
page.app_lock.title,App Lock,قفل التطبيق,App-Sperre,Bloqueo de aplicaciones,Bloqueo de aplicaciones,Verrouillage d'application,ऐप लॉक,Kunci Aplikasi,Blocco dell'app,アプリロック,ចាក់សោកម្មវិធី,앱 잠금,Blokada aplikacji,Bloqueio de aplicativo,Khóa ứng dụng,应用锁,Блокировка приложения,Блокування додатка,Uygulama Kilidi
page.backup_services.title,Backup & Restore,النسخ الاحتياطي والاستعادة,Datensicherung und Wiederherstellung,Copia de seguridad y restauración,Copia de seguridad y restauración,Sauvegarde et restauration,बैकअप और पुनर्स्थापना,Pencadangan & Pemulihan,Backup e ripristino,バックアップと復元,បម្រុងទុក និងស្ដារឡើងវិញ,백업 및 복원,Kopia zapasowa i przywracanie,Backup e restauração,Sao lưu & Khôi phục,备份与恢复,Резервное копирование и восстановление,Резервне копіювання та відновлення,Yedekleme ve Geri Yükleme
page.calendar.title,Calendar,تقويم,Kalender,Calendario,Calendario,Calendrier,कैलेंडर,Kalender,Calendario,カレンダー,ប្រតិទិន,달력,Kalendarz,Calendário,Lịch,日历,Календарь,Календар,Takvim
